"name","genes"
"adipomap.Ad","PDE3B"
"adipomap.Ad","GPAM"
"adipomap.Ad","ACACB"
"adipomap.Ad","ME1"
"adipomap.Ad","LPL"
"adipomap.Ad","ACSL1"
"adipomap.Ad","ACSS2"
"adipomap.Ad","GHR"
"adipomap.Ad","GRK3"
"adipomap.Ad","ACACA"
"adipomap.Ad","SAT1"
"adipomap.Ad","AMBRA1"
"adipomap.Ad","SCD"
"adipomap.Ad","ELOVL6"
"adipomap.Ad","TMEM135"
"adipomap.Ad","LPIN1"
"adipomap.Ad","ZNF117"
"adipomap.Ad","ELOVL5"
"adipomap.Ad","SOX5"
"adipomap.Ad","VKORC1L1"
"adipomap.Ad","ABCD2"
"adipomap.Ad","LINC00632"
"adipomap.Ad","ECHDC1"
"adipomap.Ad","PPARG"
"adipomap.Ad","G0S2"
"adipomap.Ad","ACER3"
"adipomap.Ad","ADIPOQ"
"adipomap.Ad","ACLY"
"adipomap.Ad","EHBP1"
"adipomap.Ad","ABCA1"
"adipomap.Ad","ADIPOR2"
"adipomap.Ad","CD36"
"adipomap.Ad","ZBED3-AS1"
"adipomap.Ad","SIK2"
"adipomap.Ad","ERV3-1"
"adipomap.Ad","TRHDE"
"adipomap.Ad","ANO6"
"adipomap.Ad","APBB1IP"
"adipomap.Ad","FHIT"
"adipomap.Ad","INSIG1"
"adipomap.Ad","MME"
"adipomap.Ad","OSBPL11"
"adipomap.Ad","SLC16A7"
"adipomap.Ad","ITPR2"
"adipomap.Ad","MVD"
"adipomap.Ad","FADS1"
"adipomap.Ad","ZFPM2"
"adipomap.Ad","PRUNE2"
"adipomap.Ad","HIVEP3"
"adipomap.Ad","TENM4"
"adipomap.ASPC","COL1A1"
"adipomap.ASPC","COL1A2"
"adipomap.ASPC","FN1"
"adipomap.ASPC","DCN"
"adipomap.ASPC","COL6A1"
"adipomap.ASPC","COL6A2"
"adipomap.ASPC","MFAP5"
"adipomap.ASPC","PRRX1"
"adipomap.ASPC","PTX3"
"adipomap.ASPC","COL6A3"
"adipomap.ASPC","TIMP1"
"adipomap.ASPC","ACTB"
"adipomap.ASPC","SVEP1"
"adipomap.ASPC","GLS"
"adipomap.ASPC","BICC1"
"adipomap.ASPC","CCN1"
"adipomap.ASPC","FSTL1"
"adipomap.ASPC","THBS1"
"adipomap.ASPC","THY1"
"adipomap.ASPC","CALD1"
"adipomap.ASPC","MYO1D"
"adipomap.ASPC","COL12A1"
"adipomap.ASPC","LMO7"
"adipomap.ASPC","EXT1"
"adipomap.ASPC","NEGR1"
"adipomap.ASPC","SLIT3"
"adipomap.ASPC","COL3A1"
"adipomap.ASPC","CDH11"
"adipomap.ASPC","LSAMP"
"adipomap.ASPC","DDAH1"
"adipomap.ASPC","CST3"
"adipomap.ASPC","CD81"
"adipomap.ASPC","VIM"
"adipomap.ASPC","DCLK1"
"adipomap.ASPC","FGF7"
"adipomap.ASPC","USP53"
"adipomap.ASPC","ACTG1"
"adipomap.ASPC","FBXL7"
"adipomap.ASPC","CACNA1C"
"adipomap.ASPC","MIR100HG"
"adipomap.ASPC","CTHRC1"
"adipomap.ASPC","SERPINE1"
"adipomap.ASPC","SASH1"
"adipomap.ASPC","ADAMTSL1"
"adipomap.ASPC","ADM"
"adipomap.ASPC","ITGB1"
"adipomap.ASPC","LAPTM4A"
"adipomap.ASPC","SPARC"
"adipomap.ASPC","TMSB4X"
"adipomap.ASPC","PEAK1"
"yi.AD","LINC02607"
"yi.AD","GPAM"
"yi.AD","ME1"
"yi.AD","GRK3"
"yi.AD","ELOVL6"
"yi.AD","PRKAR2B"
"yi.AD","PCK1"
"yi.AD","GYG2"
"yi.AD","ACSS2"
"yi.AD","SORBS1"
"yi.AD","HPSE2"
"yi.AD","LIPE-AS1"
"yi.AD","LGALS12"
"yi.AD","MLXIPL"
"yi.AD","ADIPOQ"
"yi.AD","PECR"
"yi.AD","CLMN"
"yi.AD","PALMD"
"yi.AD","PLIN1"
"yi.AD","PNPLA3"
"yi.AD","LIPE"
"yi.AD","TMEM132C"
"yi.AD","ACSL1"
"yi.AD","LPL"
"yi.AD","AC002066.1"
"yi.AD","PDE8B"
"yi.AD","ZNF117"
"yi.AD","MVD"
"yi.AD","ZBED3-AS1"
"yi.AD","OSBPL11"
"yi.AD","TRHDE"
"yi.AD","LINC00632"
"yi.AD","DLAT"
"yi.AD","SPRY4-AS1"
"yi.AD","ERV3-1"
"yi.AD","AQP7"
"yi.AD","HK2"
"yi.AD","AMBRA1"
"yi.AD","DGAT2"
"yi.AD","ACACB"
"yi.AD","PLIN4"
"yi.AD","ABCD2"
"yi.AD","ACER3"
"yi.AD","GHR"
"yi.AD","KANK1"
"yi.AD","AC018616.1"
"yi.AD","THRSP"
"yi.AD","G0S2"
"yi.AD","ADIPOR2"
"yi.AD","PDE3B"
"yi.AD","ACLY"
"yi.AD","MEGF9"
"yi.AD","HIVEP3"
"yi.AD","LPIN1"
"yi.AD","ACACA"
"yi.AD","SCD"
"yi.AD","VKORC1L1"
"yi.AD","GPD1"
"yi.AD","SREBF1"
"yi.AD","AGPAT2"
"yi.AD","ABCA1"
"yi.AD","LPCAT3"
"yi.AD","PDK1"
"yi.AD","FASN"
"yi.AD","INSIG1"
"yi.AD","CPEB4"
"yi.AD","CD36"
"yi.AD","ECHDC1"
"yi.AD","LRRC8B"
"yi.AD","RDH5"
"yi.AD","PRXL2A"
"yi.AD","APBB1IP"
"yi.AD","RBP4"
"yi.AD","ITGA7"
"yi.AD","PPP2R5A"
"yi.AD","PCOLCE2"
"yi.AD","SORT1"
"yi.AD","PNPLA2"
"yi.AD","LSS"
"yi.AD","IDH1"
"yi.AD","TMEM135"
"yi.AD","ELOVL5"
"yi.AD","CS"
"yi.AD","SHMT1"
"yi.AD","MAPK10"
"yi.AD","HADH"
"yi.AD","SLC16A7"
"yi.AD","EHBP1"
"yi.AD","PTGER3"
"yi.AD","TNFAIP8"
"yi.AD","C19orf12"
"yi.AD","AR"
"yi.AD","SAT1"
"yi.AD","SIK2"
"yi.AD","SOX5"
"yi.AD","FZD4"
"yi.AD","HSD17B12"
"yi.AD","FIGN"
"yi.AD","PPARG"
"yi.AD","ITPR2"
"yi.AD","BCL2"
"yi.AD","ARHGAP20"
"yi.AD","COA1"
"yi.AD","FADS1"
"yi.AD","AC007098.1"
"yi.AD","ANO6"
"yi.AD","PLAAT3"
"yi.AD","PDGFC"
"yi.AD","FAM49B"
"yi.AD","GBE1"
"yi.AD","SLC1A3"
"yi.AD","PTPRK"
"yi.AD","CAV2"
"yi.AD","IRS1"
"yi.AD","SVIL"
"yi.AD","MOSPD2"
"yi.AD","PRUNE2"
"yi.AD","ATL2"
"yi.AD","CAT"
"yi.AD","CIDEC"
"yi.AD","FHIT"
"yi.AD","HSDL2"
"yi.AD","RTN3"
"yi.AD","SLC7A6"
"yi.AD","FAM214A"
"yi.AD","TXLNG"
"yi.AD","AP000331.1"
"yi.AD","PANK3"
"yi.AD","FOXO1"
"yi.AD","BCKDHB"
"yi.AD","TBC1D4"
"yi.AD","CYB5A"
"yi.AD","DECR1"
"yi.AD","AL365295.1"
"yi.AD","FABP5"
"yi.AD","DOCK11"
"yi.AD","TENM4"
"yi.AD","STK38L"
"yi.AD","NRCAM"
"yi.AD","SLC22A23"
"yi.AD","COBLL1"
"yi.AD","HACD2"
"yi.AD","LIMS1"
"yi.AD","PRKAR2A"
"yi.AD","TPRG1"
"yi.AD","CPEB2"
"yi.AD","VWA8"
"yi.AD","IDI1"
"yi.AD","LRBA"
"yi.AD","FABP4"
"yi.AD","ATP2B4"
"yi.AD","STK39"
"yi.AD","POLK"
"yi.AD","COL5A3"
"yi.AD","MACROD2"
"yi.AD","PSMA1"
"yi.AD","SOS1"
"yi.AD","FDPS"
"yi.AD","ZFPM2"
"yi.AD","ACO1"
"yi.AD","ASPH"
"yi.AD","RALGAPA2"
"yi.AD","LNPEP"
"yi.AD","SLTM"
"yi.AD","ETFDH"
"yi.AD","COL4A2"
"yi.AD","PABPN1"
"yi.AD","TSPAN14"
"yi.AD","POR"
"yi.AD","RREB1"
"yi.AD","APOC1"
"yi.AD","ITIH5"
"yi.AD","CEPT1"
"yi.AD","TALDO1"
"yi.AD","UVRAG"
"yi.AD","NRIP1"
"yi.AD","TKT"
"yi.AD","CSAD"
"yi.AD","COL4A1"
"yi.AD","HSD17B4"
"yi.AD","LDLRAD3"
"yi.AD","SESTD1"
"yi.AD","HMGCS1"
"yi.AD","MSMO1"
"yi.AD","TLE1"
"yi.AD","CHCHD3"
"yi.AD","TMCC1"
"yi.AD","USP25"
"yi.AD","FADS2"
"yi.AD","MID1"
"yi.AD","PTPN4"
"yi.AD","TNS1"
"yi.AD","RNF19A"
"yi.AD","ADH1B"
"yi.AD","STAU2"
"yi.AD","ZEB2"
"yi.AD","RNF111"
"yi.AD","IBTK"
"yi.AD","DBI"
"yi.AD","EFNA5"
"yi.AD","NFIA"
"yi.AD","ATR"
"yi.AD","GSE1"
"yi.AD","SH3PXD2A"
"yi.AD","MALAT1"
"yi.AD","QKI"
"yi.AD","STARD13"
"yi.AD","MSH3"
"yi.AD","GLUL"
