"name","genes"
"lit.lipogenic","SREBF1"
"lit.lipogenic","MLXIPL"
"lit.lipogenic","SREBF2"
"lit.lipogenic","FASN"
"lit.lipogenic","ACC1"
"lit.lipogenic","SCD1"
"lit.lipogenic","ACLY"
"lit.lipogenic","ELOVL6"
"lit.lipogenic","NR1H3"
"lit.lipogenic","NR1H2"
"lit.lipogenic","PPM1K"
"lit.lipogenic","BCKDH"
"lit.lipogenic","BDK"
"lit.lipogenic","ACSL1"
"lit.lipogenic","GPAM"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ACAA2"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ACACA"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ACACB"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ACLY"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ACSL1"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ACSL3"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ACSL4"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ACSL5"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ACSL6"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ACSS2"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","DECR1"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ECH1"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ECHDC1"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ECHDC2"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ECHDC3"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","ECHS1"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","FASN"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","HADH"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","MECR"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","PC"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","PECR"
"C2.WP_FATTY_ACID_BIOSYNTHESIS","SCD"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","AGMO"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","DGAT1"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","DGAT2"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","GK"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","GK2"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","GK3P"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","GPAM"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","GPAT2"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","LPIN1"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","LPIN2"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","LPIN3"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","MOGAT1"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","MOGAT2"
"C2.REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","MOGAT3"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","ACACA"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","ACACB"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","CARM1"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","CHD9"
"C2.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP","CREBBP"
