"name","genes"
"nonucp1.all","CKB"
"nonucp1.all","ALPL"
"nonucp1.all","SLC6A8"
"nonucp1.all","GATM"
"nonucp1.all","GAMT"
"nonucp1.all","CKMT1A"
"nonucp1.all","CKMT1B"
"nonucp1.all","CKMT2"
"nonucp1.all","DGAT1"
"nonucp1.all","DGAT2"
"nonucp1.all","PNPLA2"
"nonucp1.all","LIPE"
"nonucp1.all","GYK"
"nonucp1.all","ACLY"
"nonucp1.all","LPL"
"nonucp1.all","PCK1"
"nonucp1.all","CD36"
"nonucp1.all","ATPA2"
"nonucp1.all","C4orf3 (ARLN)"
"nonucp1.all","mIR378"
"nonucp1.all","ADRB3"
"nonucp1.all","STAT3"
"nonucp1.all","GPAT3"
"nonucp1.all","SLC24A4"
"nonucp1.all","SLC24A5"
"nonucp1.all","SLN"
"nonucp1.all","PLN"
"nonucp1.all","ATPA1"
"nonucp1.all","ATPA3"
"nonucp1.all","GIPR"
"nonucp1.all","RYR"
"nonucp1.all","CAMK2A"
"nonucp1.all","HRC"
"REACTOME_AMPK_inhibits_chREBP_R-HSA-163680","ADIPOQ"
"REACTOME_AMPK_inhibits_chREBP_R-HSA-163680","ADIPOR1"
"REACTOME_AMPK_inhibits_chREBP_R-HSA-163680","ADIPOR2"
"REACTOME_AMPK_inhibits_chREBP_R-HSA-163680","MLXIPL"
"REACTOME_AMPK_inhibits_chREBP_R-HSA-163680","PRKAA2"
"REACTOME_AMPK_inhibits_chREBP_R-HSA-163680","PRKAB2"
"REACTOME_AMPK_inhibits_chREBP_R-HSA-163680","PRKAG2"
"REACTOME_AMPK_inhibits_chREBP_R-HSA-163680","STK11"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ABCC8"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ACACA"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ACACB"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ACLY"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ACSL3"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ACSL4"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADCY1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADCY2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADCY3"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADCY4"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADCY5"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADCY6"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADCY7"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADCY8"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADCY9"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADIPOQ"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADIPOR1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADIPOR2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADRA2A"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","ADRA2C"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","AGPAT1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","AHCYL1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","AKAP5"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","CACNA1A"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","CACNA1C"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","CACNA1D"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","CACNA1E"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","CACNA2D2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","CACNB2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","CACNB3"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","CD36"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","CHRM3"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","FASN"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","FFAR1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GCG"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GCGR"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GLP1R"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNA11"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNA14"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNA15"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNAI1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNAI2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNAQ"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNAS"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNB1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNB2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNB3"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNB4"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNB5"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNG10"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNG11"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNG12"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNG13"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNG2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNG3"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNG4"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNG5"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNG7"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNG8"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNGT1"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","GNGT2"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","INS"
"REACTOME_Integration_of_energy_metabolism_R-HSA-163685","IQGAP1"
